Dataset,Model1,Model2,Period,Topn,Overlap
Google,QDA,CART,19,1,0
Google,QDA,CART,19,3,0.375
Google,QDA,CART,19,5,0.583333333333333
Google,QDA,CART,20,1,0.2
Google,QDA,CART,20,3,0.25
Google,QDA,CART,20,5,0.583333333333333
Google,QDA,CART,21,1,0
Google,QDA,CART,21,3,0.416666666666667
Google,QDA,CART,21,5,0.833333333333333
Google,QDA,CART,22,1,0.5
Google,QDA,CART,22,3,0.833333333333333
Google,QDA,CART,22,5,1
Google,QDA,CART,23,1,0
Google,QDA,CART,23,3,0.583333333333333
Google,QDA,CART,23,5,0.75
Google,QDA,CART,24,1,0.1
Google,QDA,CART,24,3,0.5
Google,QDA,CART,24,5,0.833333333333333
Google,QDA,CART,25,1,0
Google,QDA,CART,25,3,0.25
Google,QDA,CART,25,5,0.5
Google,QDA,CART,26,1,0
Google,QDA,CART,26,3,0.25
Google,QDA,CART,26,5,0.5
Google,QDA,CART,27,1,1
Google,QDA,CART,27,3,0.333333333333333
